Course Name,Course Title,First Name,Last Name,Term,InvitedCount,RespondentCount,%ResponseRatio,"Excluding class sessions, estimate the average number of hours per week spent in preparation or review. - Mean","Overall, did the instructor convey the course material clearly? - Mean","Overall, did the instructor convey the course material in an interesting way? - Mean","Did you take away useful tools, concepts, and/or insights from this course? - Mean",How much did you get out of this course? - Mean,Would you recommend this course to other students? - Mean
28620-01,Crony Capitalism,Luigi G,Zingales,Spring 2017,26,26,100,12.04,4.65,4.73,4.54,4.38,4.12
28620-01,Crony Capitalism,Luigi G,Zingales,Spring 2018,40,40,100,7.23,4.45,4.63,4.23,4.28,4.35
28620-01,Crony Capitalism,Luigi G,Zingales,Spring 2019,31,31,100,8.55,4.68,4.68,4.61,4.61,4.52
30000 01,Financial Accounting,Amoray,Cragun,Winter 2020,64,44,68.75,3.05,4.14,4.09,4.07,3.64,3.84
30000 01,Financial Accounting,Valeri,Nikolaev,Autumn 2020,69,45,65.22,5.13,4.36,4.22,4.42,4.18,4.24
30000 01,Financial Accounting,Valeri,Nikolaev,Autumn 2021,67,35,52.24,4.69,4.26,3.97,4.2,3.74,4.09
30000 01,Financial Accounting,Thomas,Rauter,Winter 2021,70,53,75.71,4.42,4.6,4.49,4.51,4.4,4.49
30000 01,Financial Accounting,Anastasia,Zakolyukina,Autumn 2019,63,59,93.7,3.7,4.2,4.4,4.5,4.3,4.5
30000 01,Financial Accounting,Amoray,Cragun,Winter 2022,56,33,58.93,3.79,4.39,4.15,4.3,3.97,4.06
30000 02,Financial Accounting,Valeri,Nikolaev,Autumn 2020,70,46,65.71,4.17,4.48,4.15,4.54,4.22,4.28
30000 02,Financial Accounting,Valeri,Nikolaev,Autumn 2021,69,39,56.52,3.69,4.23,3.97,4.36,3.92,4.05
30000 02,Financial Accounting,Anastasia,Zakolyukina,Autumn 2019,64,55,85.9,4.5,4.2,4.4,4.4,4.2,4.4
30000 03,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,62,39,62.9,4.26,4.26,4.33,4.46,4.23,4.41
30000 03,Financial Accounting, Joao,Granja,Autumn 2019,65,51,78.5,3.9,4.7,4.7,4.6,4.5,4.8
30000 03,Financial Accounting,Valeri,Nikolaev,Autumn 2021,70,39,55.71,4.54,3.87,3.74,4.18,3.85,3.72
30000 04,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,62,41,66.13,4.51,4.2,4.46,4.22,3.85,4.12
30000 04,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2021,65,34,52.31,4.26,4.15,4.21,4.18,3.82,4.09
30000 04,Financial Accounting,Joao,Granja,Autumn 2019,64,48,75,4.3,4.4,4.7,4.5,4.4,4.6
30000 05,Financial Accounting,Yoel,Beniluz,Autumn 2021,60,44,73.33,4.55,3.41,3.25,3.93,3.39,3.25
30000 05,Financial Accounting,Valeri,Nikolaev,Autumn 2019,25,27,108,4.3,4.8,4.3,4.7,4.5,4.5
30000 05,Financial Accounting,Anastasia,Zakolyukina,Autumn 2020,51,39,76.47,5.85,4.56,4.46,4.77,4.46,4.49
30000 06,Financial Accounting,Yoel,Beniluz,Autumn 2021,21,19,90.48,6.89,4.26,4,4.42,4.21,4.21
30000 06,Financial Accounting, Valeri,Nikolaev,Autumn 2019,60,34,56.7,3.8,4.7,4.5,4.6,4.4,4.5
30000 06,Financial Accounting,Anastasia,Zakolyukina,Autumn 2020,27,16,59.26,7.69,4.63,4.56,4.63,4.5,4.56
30000 07,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,65,39,60,4.87,4.79,4.85,4.49,4.26,4.49
30000 81,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2021,63,36,57.14,5.14,4.31,4.53,4.42,4.25,4.44
30000 81,Financial Accounting,Amoray,Cragun,Winter 2020,50,44,88,4.89,4.45,4.43,4.59,4.43,4.43
30000 81,Financial Accounting,J Douglas,Hanna,Summer 2020,61,44,72.13,6.82,4.3,3.66,4.23,3.89,3.95
30000 81,Financial Accounting,J Douglas,Hanna,Summer 2021,54,37,68.52,8.08,4.24,3.84,4.24,4.03,3.92
30000 81,Financial Accounting,Anya,Kleymenova,Spring 2020,63,32,50.79,8.16,4.28,4.22,4.41,4.22,4.09
30000 81,Financial Accounting,Valeri,Nikolaev,Autumn 2020,46,32,69.57,6.19,4.25,4.06,4.38,4.19,4.09
30000 81,Financial Accounting,Thomas,Rauter,Winter 2021,64,56,87.5,5.5,4.64,4.75,4.77,4.5,4.64
30000 81,Financial Accounting,Rimmy,Tomy,Spring 2021,26,16,61.54,5.31,4.25,4.25,4.38,4.19,4.31
30000 81,Financial Accounting, Anastasia,Zakolyukina,Autumn 2019,61,47,77,4.9,4.2,4.1,4.4,4.1,4.4
30000 81,Financial Accounting,Amoray,Cragun,Winter 2022,23,18,78.26,5.5,4.39,4.39,4.56,4.22,4.22
30000 82,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,65,55,84.62,5.84,4.22,4.69,4.45,4.33,4.45
30000 82,Financial Accounting,Yoel,Beniluz,Autumn 2021,20,14,70,7.43,4.21,3.64,4.21,4.14,3.86
30000 82,Financial Accounting,Pingyang,Gao,Winter 2020,45,28,62.22,5.11,4.14,4.07,4.36,4,4
30000 82,Financial Accounting, Joao,Granja,Autumn 2019,62,58,93.5,5.1,4.4,4.6,4.4,4.3,4.5
30000 82,Financial Accounting,Charles,McClure,Spring 2021,54,43,79.63,6.3,4.49,4.44,4.53,4.33,4.28
30000 82,Financial Accounting,Maximilian,Muhn,Spring 2020,63,34,53.97,7.74,4.03,4.15,4.32,4.15,4.03
30000 82,Financial Accounting,Thomas,Rauter,Winter 2022,53,44,83.02,5.45,4.59,4.39,4.57,4.45,4.52
30000 83,Financial Accounting,Pingyang,Gao,Winter 2020,11,7,63.64,5,4.57,4.43,4.14,4.14,4.14
30000 83,Financial Accounting,Charles,McClure,Spring 2021,42,25,59.52,5.28,4.72,4.72,4.48,4.44,4.6
30000 85,Financial Accounting,Heltzer, Wendy,Autumn 2019,54,46,85.2,5.7,4.3,4.2,4.5,4.3,4.4
30000 85,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2021,61,43,70.49,6.53,4.53,4.7,4.51,4.44,4.37
30000 85,Financial Accounting,Pingyang,Gao,Winter 2020,34,18,52.94,5.78,4.33,4.06,4.56,4.22,4.22
30000 85,Financial Accounting,J Douglas,Hanna,Summer 2020,18,13,72.22,6.46,4.46,4.08,4.15,3.92,3.85
30000 85,Financial Accounting,J Douglas,Hanna,Summer 2021,27,15,55.56,11.87,4.6,4.07,4.33,4.2,4.27
30000 85,Financial Accounting,Anya,Kleymenova,Spring 2020,63,29,46.03,8.48,4.41,4.41,4.76,4.62,4.69
30000 85,Financial Accounting,Rimmy,Tomy,Spring 2021,35,26,74.29,6.5,4.65,4.62,4.58,4.38,4.58
30000 85,Financial Accounting,Anastasia,Zakolyukina,Autumn 2020,64,44,68.75,6.59,4.61,4.52,4.61,4.48,4.5
30000 85,Financial Accounting,Thomas,Rauter,Winter 2022,57,50,87.72,5.86,4.74,4.88,4.78,4.64,4.76
30000 86,Financial Accounting,Rimmy,Tomy,Spring 2021,15,10,66.67,5.6,4.8,4.6,4.9,4.6,5
30000-01,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2018,36,25,69.44,8.68,4.64,4.84,4.76,4.64,4.68
30000-01,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Winter 2017,61,52,85.25,6.25,4.67,4.69,4.46,4.17,4.58
30000-01,Financial Accounting,Raymond,Ball,Spring 2016,56,37,66.07,6.3,4.51,4.05,4.51,4.27,4.27
30000-01,Financial Accounting,Raymond,Ball,Spring 2017,39,27,69.23,6.85,4.33,3.93,4.22,4.26,4.33
30000-01,Financial Accounting,John,Barrios,Winter 2016,65,54,83.08,3.28,3.54,3.11,3.56,3.26,3.22
30000-01,Financial Accounting,John,Barrios,Winter 2019,62,48,77.42,9.06,4.08,3.98,3.98,3.71,3.77
30000-01,Financial Accounting,Jonathan,Bonham,Winter 2018,53,39,73.58,6.62,4.41,4.13,4.38,4.31,4.46
30000-01,Financial Accounting,Anya,Kleymenova,Autumn 2016,14,10,71.43,14.4,4.9,4.3,4.6,4.6,4.8
30000-01,Financial Accounting,Anya,Kleymenova,Autumn 2017,65,56,86.15,5.64,4.61,4.45,4.64,4.48,4.64
30000-01,Financial Accounting,Anastasia,Zakolyukina,Spring 2018,56,40,71.43,14.95,4.58,4.23,4.5,4.3,4.38
30000-02,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2018,63,45,71.43,4.13,4.64,4.6,4.56,4.49,4.76
30000-02,Financial Accounting,John,Barrios,Winter 2018,50,44,88,7.93,4.18,4.16,4.34,4.09,4.23
30000-02,Financial Accounting,Anya,Kleymenova,Autumn 2016,15,8,53.33,5.5,4.88,3.88,4.5,4.5,4.63
30000-02,Financial Accounting,Anya,Kleymenova,Autumn 2017,61,50,81.97,5.6,4.32,3.92,4.16,4.02,4.14
30000-02,Financial Accounting,Valeri,Nikolaev,Spring 2017,55,32,58.18,7.63,4.72,4.09,4.59,4.41,4.44
30000-02,Financial Accounting,Valeri,Nikolaev,Winter 2016,61,42,68.85,19.74,4.86,4.38,4.67,4.62,4.5
30000-02,Financial Accounting,Rimmy,Tomy,Spring 2018,62,46,74.19,7.07,4.57,3.89,4.46,4.41,4.59
30000-02,Financial Accounting,Anastasia,Zakolyukina,Spring 2016,58,38,65.52,5.37,4.37,4.11,4.5,4.37,4.18
30000-02,Financial Accounting,Anastasia,Zakolyukina,Winter 2017,57,51,89.47,7,4.41,4.18,4.57,4.35,4.31
30000-03,Financial Accounting,John,Barrios,Winter 2018,49,36,73.47,8.42,4.17,3.97,4.11,3.92,3.94
30000-03,Financial Accounting,Jonathan,Bonham,Autumn 2018,65,54,83.08,5.44,4.06,4.06,4.17,3.91,4.2
30000-03,Financial Accounting,Pingyang,Gao,Autumn 2017,63,42,66.67,4.02,3.45,3.33,3.95,3.71,3.67
30000-03,Financial Accounting,Mark,Maffett,Autumn 2016,64,45,70.31,5.76,4.4,4.38,4.2,4.11,4.36
