Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
30000-81,Financial Accounting,Spring,2022,"Friday, 6:00 -  9:00","Tomy, Rimmy",5,60,0,7,58,0,9,56,0,9,56,N/A,12,53,0,,,
30000-83,Financial Accounting,Spring,2022,"Tuesday, 6:00 -  9:00","McClure, Charles",6,59,0,7,58,0,23,42,0,25,40,0,30,35,0,,,
30000-85,Financial Accounting,Spring,2022,"Saturday, 9:00 - 12:00","Tomy, Rimmy",5,60,0,6,59,0,18,47,0,18,47,N/A,25,40,0,,,
30000-86,Financial Accounting,Spring,2022,"Saturday, 1:30 -  4:30","Tomy, Rimmy",6,59,0,8,57,0,18,47,0,20,45,0,21,44,0,,,
30001-01,Cost Analysis and Internal Controls,Spring,2022,"Tuesday, 8:30 - 11:30","Stewart, Christopher",65,CLO,2600,65,CLO,6000,65,CLO,N/A,65,CLO,N/A,65,CLO,7309,,,
30001-81,Cost Analysis and Internal Controls,Spring,2022,"Tuesday, 6:00 -  9:00","Stewart, Christopher",35,30,0,35,30,0,35,30,N/A,35,30,N/A,65,CLO,100,,,
30118-01,Taxes and Business Strategy,Spring,2022,"Wednesday, 1:30 -  4:30","Weiss, Ira",65,CLO,6223,65,CLO,13014,65,CLO,N/A,65,CLO,N/A,65,CLO,8001,,,
30118-81,Taxes and Business Strategy,Spring,2022,"Wednesday, 6:00 -  9:00","Weiss, Ira",34,31,0,30,35,0,30,35,N/A,30,35,N/A,65,CLO,1,,,
30118-85,Taxes and Business Strategy,Spring,2022,"Saturday, 9:00 - 12:00","Weiss, Ira",34,31,0,33,32,0,33,32,N/A,33,32,N/A,45,20,0,,,
30120-01,"Accounting, Economic, and Regulatory Issues in Complex Deals",Spring,2022,"Friday, 1:30 -  4:30","Maffett, Mark",36,29,0,45,20,0,46,19,0,46,19,N/A,47,18,0,,,
30120-85,"Accounting, Economic, and Regulatory Issues in Complex Deals",Spring,2022,"Saturday, 1:30 -  4:30","Maffett, Mark",36,29,0,33,32,0,35,30,0,35,30,N/A,50,15,0,,,
30121-01,Accounting for Entrepreneurship: From Start-Up through IPO,Spring,2022,"Tuesday, 1:30 -  4:30","Berger, Philip",65,CLO,1111,65,CLO,5122,65,CLO,N/A,65,CLO,N/A,65,CLO,5265,,,
30121-02,Accounting for Entrepreneurship: From Start-Up through IPO,Spring,2022,"Wednesday, 1:30 -  4:30","Berger, Philip",65,CLO,0,65,CLO,2000,65,CLO,N/A,65,CLO,N/A,65,CLO,1000,,,
30121-81,Accounting for Entrepreneurship: From Start-Up through IPO,Spring,2022,"Tuesday, 6:00 -  9:00","Berger, Philip",31,34,0,31,34,0,31,34,N/A,31,34,N/A,44,21,0,,,
30130-01,Financial Statement Analysis,Spring,2022,"Friday, 8:30 - 11:30","Hand, John",65,CLO,15,65,CLO,1007,65,CLO,N/A,65,CLO,N/A,62,3,0,,,
